Name,DBaaS,License,Web-site,Details,Type,DB-engines-Score,size
Mnesia,no,Open Source,www.erlang.org/­doc/­man/­mnesia.html,http://db-engines.com/en/system/Mnesia,Document store,0.98,99
DataEase,no,Commercial,www.dataease.com,http://db-engines.com/en/system/DataEase,Relational DBMS,0.96,97
Empress,no,Commercial,www.empress.com,http://db-engines.com/en/system/Empress,Relational DBMS,0.96,97
Microsoft Azure DocumentDB,yes,Commercial,azure.microsoft.com/­en-us/­services/­documentdb,http://db-engines.com/en/system/Microsoft+Azure+DocumentDB,Document store,0.96,97
NuoDB,?no?,Commercial,www.nuodb.com,http://db-engines.com/en/system/NuoDB,Relational DBMS,0.96,97
Red Brick,no,Commercial,www-03.ibm.com/­software/­products/­us/­en/­redbrick,http://db-engines.com/en/system/Red+Brick,Relational DBMS,0.94,95
PouchDB,no,Open Source,pouchdb.com,http://db-engines.com/en/system/PouchDB,Document store,0.89,90
Amazon Aurora,yes,Commercial,aws.amazon.com/­rds/­aurora,http://db-engines.com/en/system/Amazon+Aurora,Relational DBMS,0.88,89
Kdb+,no,Commercial,kx.com/­products.php,http://db-engines.com/en/system/Kdb%2B,Multi-model ,0.87,88
Kdb+,no,Commercial,kx.com/­products.php,http://db-engines.com/en/system/Kdb%2B,Relational DBMS,0.87,88
Kdb+,no,Commercial,kx.com/­products.php,http://db-engines.com/en/system/Kdb%2B,Time Series DBMS,0.87,88
BaseX,no,Open Source,basex.org,http://db-engines.com/en/system/BaseX,Native XML DBMS,0.86,87
GridGain,no,Commercial,www.gridgain.com,http://db-engines.com/en/system/GridGain,Key-value store,0.85,86
Apache Drill,no,Open Source,drill.apache.org,http://db-engines.com/en/system/Apache+Drill,Relational DBMS,0.84,85
Altibase,no,Commercial,altibase.com,http://db-engines.com/en/system/Altibase,Relational DBMS,0.83,84
Google Cloud Datastore,yes,Commercial,developers.google.com/­datastore,http://db-engines.com/en/system/Google+Cloud+Datastore,Document store,0.82,83
NonStop SQL,no,Commercial,h17007.www1.hp.com/­us/­en/­enterprise/­servers/­integrity/­nonstop/­nonstop-sql.aspx,http://db-engines.com/en/system/NonStop+SQL,Relational DBMS,0.81,82
R:BASE,no,Commercial,www.rbase.com,http://db-engines.com/en/system/R%3ABASE,Relational DBMS,0.81,82
AllegroGraph,no,Commercial,www.franz.com/­agraph/­allegrograph,http://db-engines.com/en/system/AllegroGraph,RDF store,0.78,79
Giraph,no,Open Source,giraph.apache.org,http://db-engines.com/en/system/Giraph,Graph DBMS,0.78,79
Model 204,no,Commercial,www.rocketsoftware.com/­m204,http://db-engines.com/en/system/Model+204,Multivalue DBMS,0.77,78
Datacom/DB,no,Commercial,www.ca.com/­us/­opscenter/­ca-datacom.aspx,http://db-engines.com/en/system/Datacom%2FDB,Relational DBMS,0.75,76
Microsoft Azure Search,yes,Commercial,azure.microsoft.com/­en-us/­services/­search,http://db-engines.com/en/system/Microsoft+Azure+Search,Search engine,0.74,75
solidDB,no,Commercial,www.ibm.com/­software/­data/­soliddb,http://db-engines.com/en/system/solidDB,Relational DBMS,0.71,72
Clustrix,no,Commercial,www.clustrix.com,http://db-engines.com/en/system/Clustrix,Relational DBMS,0.69,70
Objectivity/DB,no,Commercial,www.objectivity.com/­products/­objectivitydb,http://db-engines.com/en/system/Objectivity%2FDB,Object oriented DBMS,0.67,68
Vectorwise,no,Commercial,www.actian.com/­products/­vectorwise,http://db-engines.com/en/system/Vectorwise,Relational DBMS,0.66,67
ZODB,no,Open Source,www.zodb.org,http://db-engines.com/en/system/ZODB,Key-value store,0.65,66
Hypertable,no,Open Source,hypertable.org,http://db-engines.com/en/system/Hypertable,Wide column store,0.62,63
1010data,no,Commercial,www.1010data.com,http://db-engines.com/en/system/1010data,Relational DBMS,0.61,62
GT.M,no,Commercial,www.fisglobal.com/­products-technologyplatforms-gtm,http://db-engines.com/en/system/GT.M,Key-value store,0.61,62
TokuDB,no,Open Source,www.tokutek.com/­products/­tokudb-for-mysql,http://db-engines.com/en/system/TokuDB,Relational DBMS,0.61,62
DBISAM,no,Commercial,www.elevatesoft.com/­products?category=dbisam,http://db-engines.com/en/system/DBISAM,Relational DBMS,0.58,59
Pervasive PSQL,no,Commercial,www.pervasivedb.com,http://db-engines.com/en/system/Pervasive+PSQL,Relational DBMS,0.56,57
Tokyo Cabinet,no,Open Source,fallabs.com/­tokyocabinet,http://db-engines.com/en/system/Tokyo+Cabinet,Key-value store,0.55,56
Xapian,no,Open Source,xapian.org,http://db-engines.com/en/system/Xapian,Search engine,0.55,56
Sparksee,no,Commercial,sparsity-technologies.com/­#sparksee,http://db-engines.com/en/system/Sparksee,Graph DBMS,0.53,54
CloudKit,no,Open Source,getcloudkit.com,http://db-engines.com/en/system/CloudKit,Document store,0.52,53
InfiniDB,no,Open Source,infinidb.org,http://db-engines.com/en/system/InfiniDB,Relational DBMS,0.5,51
Kognitio,no,Commercial,www.kognitio.com,http://db-engines.com/en/system/Kognitio,Relational DBMS,0.5,51
Algebraix,no,Commercial,www.algebraixdata.com,http://db-engines.com/en/system/Algebraix,RDF store,0.48,49
FrontBase,no,Commercial,www.frontbase.com,http://db-engines.com/en/system/FrontBase,Relational DBMS,0.48,49
TokuMX,no,Open Source,www.tokutek.com/­products/­tokumx-for-mongodb,http://db-engines.com/en/system/TokuMX,Document store,0.47,48
OpenBase,no,Commercial,www.openbase.com,http://db-engines.com/en/system/OpenBase,Relational DBMS,0.45,46
Hadapt,no,Commercial,hadapt.com,http://db-engines.com/en/system/Hadapt,Relational DBMS,0.44,45
NexusDB,no,Commercial,www.nexusdb.com,http://db-engines.com/en/system/NexusDB,Relational DBMS,0.44,45
Northgate Reality,no,Commercial,www.northgate-reality.com,http://db-engines.com/en/system/Northgate+Reality,Multivalue DBMS,0.44,45
VistaDB,no,Open Source,voltdb.com,http://db-engines.com/en/system/VoltDB,Relational DBMS,0.44,45
NCache,no,Open Source,www.alachisoft.com/­ncache,http://db-engines.com/en/system/NCache,Key-value store,0.43,44
Tamino,no,Commercial,www.softwareag.com/­corporate/­products/­wm/­tamino/­default.asp,http://db-engines.com/en/system/Tamino,Native XML DBMS,0.43,44
EXASolution,no,Commercial,www.exasol.com/­en/­products/­exasolution,http://db-engines.com/en/system/EXASolution,Relational DBMS,0.4,41
WebSphere eXtreme Scale,no,Commercial,www.ibm.com/­software/­products/­en/­websphere-extreme-scale,http://db-engines.com/en/system/WebSphere+eXtreme+Scale,Key-value store,0.39,40
WiredTiger,no,Open Source,wiredtiger.com,http://db-engines.com/en/system/WiredTiger,Key-value store,0.37,38
ObjectDB,no,Commercial,www.objectdb.com,http://db-engines.com/en/system/ObjectDB,Object oriented DBMS,0.36,37
Perst,no,Open Source,www.mcobject.com/­perst,http://db-engines.com/en/system/Perst,Object oriented DBMS,0.36,37
Rainstor,no,Commercial,rainstor.com/­products/­rainstor-database,http://db-engines.com/en/system/Rainstor,Relational DBMS,0.36,37
SciDB,no,Open Source,scidb.org,http://db-engines.com/en/system/SciDB,Multivalue DBMS,0.36,37
InfiniteGraph,no,Commercial,objectivity.com,http://db-engines.com/en/system/InfiniteGraph,Graph DBMS,0.35,36
Cubrid,no,Open Source,,http://db-engines.com/en/system/Cubrid,Relational DBMS,0.33,34
GemStone/S,no,Commercial,gemtalksystems.com,http://db-engines.com/en/system/GemStone/S,Object oriented DBMS,0.33,34
eXist-db,no,Open Source,exist-db.org,http://db-engines.com/en/system/eXist-db,Native XML DBMS,0.3,31
Indica,no,Commercial,indica.nl,http://db-engines.com/en/system/Indica,Search engine,0.3,31
ITTIA,no,Commercial,www.ittia.com,http://db-engines.com/en/system/ITTIA,Relational DBMS,0.3,31
Sqrrl,no,Commercial,sqrrl.com,http://db-engines.com/en/system/Sqrrl,Multi-model ,0.3,31
Sqrrl,no,Commercial,sqrrl.com,http://db-engines.com/en/system/Sqrrl,Document store,0.3,31
Sqrrl,no,Commercial,sqrrl.com,http://db-engines.com/en/system/Sqrrl,Graph DBMS,0.3,31
Sqrrl,no,Commercial,sqrrl.com,http://db-engines.com/en/system/Sqrrl,Key-value store,0.3,31
Sqrrl,no,Commercial,sqrrl.com,http://db-engines.com/en/system/Sqrrl,Wide column store,0.3,31
eXtremeDB,no,Commercial,www.mcobject.com/­extremedbfamily.shtml,http://db-engines.com/en/system/eXtremeDB,Relational DBMS,0.29,30
Tokyo Tyrant,no,Open Source,fallabs.com/­tokyotyrant,http://db-engines.com/en/system/Tokyo+Tyrant,Key-value store,0.29,30
OpenInsight,no,Commercial,www.revelation.com/­index.php/­products/­openinsight,http://db-engines.com/en/system/OpenInsight,Multivalue DBMS,0.28,29
ScimoreDB,no,Commercial,www.scimore.com,http://db-engines.com/en/system/ScimoreDB,Relational DBMS,0.27,28
XAP,no,Commercial,docs.gigaspaces.com,http://db-engines.com/en/system/XAP,Key-value store,0.27,28
Project Voldemort,no,Open Source,www.project-voldemort.com,http://db-engines.com/en/system/Project+Voldemort,Key-value store,0.26,27
Stardog,no,Commercial,stardog.com,http://db-engines.com/en/system/Stardog,RDF store,0.25,26
InfoGrid,no,Open Source,infogrid.org,http://db-engines.com/en/system/InfoGrid,Graph DBMS,0.24,25
Hibari,no,Open Source,hibari.github.com/­hibari-doc,http://db-engines.com/en/system/Hibari,Key-value store,0.22,23
Splice Machine,no,Commercial,www.splicemachine.com,http://db-engines.com/en/system/Splice+Machine,Relational DBMS,0.22,23
Akiban,no,Open Source,www.akiban.com,http://db-engines.com/en/system/Akiban,Relational DBMS,0.21,22
Compass,no,Open Source,www.compass-project.org,http://db-engines.com/en/system/Compass,Search engine,0.21,22
RocksDB,no,Open Source,rocksdb.org,http://db-engines.com/en/system/RocksDB,Key-value store,0.21,22
LucidDB,no,Open Source,luciddb.sourceforge.net,http://db-engines.com/en/system/LucidDB,Relational DBMS,0.2,21
