Name,DBaaS,License,Web-site,Details,Type,DB-engines-Score,size
Blazegraph,no,Open Source,blazegraph.com,http://db-engines.com/en/system/Blazegraph,Graph DBMS,0,1
Blazegraph,no,Open Source,blazegraph.com,http://db-engines.com/en/system/Blazegraph,RDF store,0,1
BrightstarDB,no,Open Source,http://www.brightstardb.com/,http://db-engines.com/en/system/BrightstarDB,RDF store,0,1
CodernityDB,no,Open Source,http://labs.codernity.com/codernitydb/,http://db-engines.com/en/system/CodernityDB,Key-value store,0,1
CortexDB,no,Commercial,www.cortex-ag.com/­cortexdoku/­cms.php,http://db-engines.com/en/system/CortexDB,Multi-model ,0,1
CortexDB,no,Commercial,www.cortex-ag.com/­cortexdoku/­cms.php,http://db-engines.com/en/system/CortexDB,Document store,0,1
CortexDB,no,Commercial,www.cortex-ag.com/­cortexdoku/­cms.php,http://db-engines.com/en/system/CortexDB,Key-value store,0,1
CubicWeb,no,Commercial,http://www.cubicweb.org/,http://db-engines.com/en/system/CubicWeb,RDF store,0,1
DBSight,no,Commercial,www.dbsight.net,http://db-engines.com/en/system/DBSight,Search engine,0,1
DensoDB,no,Open Source,http://densodb.codeplex.com/,http://db-engines.com/en/system/DensoDB,Document store,0,1
Djondb,no,Open Source,http://djondb.com/,http://db-engines.com/en/system/Djondb,Document store,0,1
Dydra,no,Commercial,http://dydra.com/,http://db-engines.com/en/system/Dydra,RDF store,0,1
EJDB,no,Open Source,http://ejdb.org/,http://db-engines.com/en/system/EJDB,Document store,0,1
Event Store,no,Open Source,https://geteventstore.com/,http://db-engines.com/en/system/Event+Store,Event Store,0,1
Exorbyte,no,Commercial,http://www.exorbyte.com/,http://db-engines.com/en/system/Exorbyte,Search engine,0,1
FleetDB,no,Open Source,https://github.com/mmcgrana/fleetdb,http://db-engines.com/en/system/FleetDB,Document store,0,1
GlobalsDB,no,Commercial,http://globalsdb.org/,http://db-engines.com/en/system/GlobalsDB,Multi-model ,0,1
GlobalsDB,no,Commercial,http://globalsdb.org/,http://db-engines.com/en/system/GlobalsDB,Document store,0,1
GlobalsDB,no,Commercial,http://globalsdb.org/,http://db-engines.com/en/system/GlobalsDB,Graph DBMS,0,1
GlobalsDB,no,Commercial,http://globalsdb.org/,http://db-engines.com/en/system/GlobalsDB,Key-value store,0,1
GraphBase,no,Commercial,graphbase.net,http://db-engines.com/en/system/GraphBase,Graph DBMS,0,1
HyperLevelDB,no,Open Source,hyperdex.org/­performance/­leveldb,http://db-engines.com/en/system/HyperLevelDB,Key-value store,0,1
JasDB,no,Open Source,http://www.oberasoftware.com/jasdb/,http://db-engines.com/en/system/JasDB,Document store,0,1
JustOneDB,no,Commercial,http://www.justonedb.com/,http://db-engines.com/en/system/JustOneDB,Relational DBMS,0,1
Kyoto Tycoon,no,Open Source,http://fallabs.com/kyototycoon/,http://db-engines.com/en/system/Kyoto+Tycoon,Key-value store,0,1
LedisDB,no,Open Source,ledisdb.com,http://db-engines.com/en/system/LedisDB,Key-value store,0,1
LightCloud,no,Open Source,http://opensource.plurk.com/LightCloud/,http://db-engines.com/en/system/LightCloud,Key-value store,0,1
LokiJS,no,Open Source,lokijs.org,http://db-engines.com/en/system/LokiJS,Document store,0,1
Mulgara,no,Open Source,http://www.mulgara.org/,http://db-engines.com/en/system/Mulgara,RDF store,0,1
Nanolat,no,Open Source,http://nanolat.com/index/0-2,http://db-engines.com/en/system/Nanolat,Key-value store,0,1
NEventStore,no,Open Source,http://neventstore.org/,http://db-engines.com/en/system/NEventStore,Event Store,0,1
OrigoDB,no,Open Source,origodb.com,http://db-engines.com/en/system/OrigoDB,Multi-model ,0,1
OrigoDB,no,Open Source,origodb.com,http://db-engines.com/en/system/OrigoDB,Document store,0,1
OrigoDB,no,Open Source,origodb.com,http://db-engines.com/en/system/OrigoDB,Object oriented DBMS,0,1
Postgres-XL,no,Open Source,http://www.postgres-xl.org/,http://db-engines.com/en/system/Postgres-XL,Relational DBMS,0,1
Quasardb,no,Commercial,www.quasardb.net,http://db-engines.com/en/system/Quasardb,Key-value store,0,1
RaptorDB,no,Open Source,http://raptordb.codeplex.com/,http://db-engines.com/en/system/RaptorDB,Document store,0,1
Resin Cache,no,Open Source,http://www.caucho.com/,http://db-engines.com/en/system/Resin+Cache,Key-value store,0,1
SenseiDB,no,Open Source,http://senseidb.com/,http://db-engines.com/en/system/SenseiDB,Document store,0,1
Sequoiadb,no,Open Source,http://www.sequoiadb.com/,http://db-engines.com/en/system/Sequoiadb,Document store,0,1
SisoDb,no,Open Source,http://www.sisodb.com/,http://db-engines.com/en/system/SisoDb,Document store,0,1
SparkleDB,no,Commercial,http://www.sparkledb.net/,http://db-engines.com/en/system/SparkleDB,RDF store,0,1
Tarantool,no,Open Source,http://tarantool.org/,http://db-engines.com/en/system/Tarantool,Key-value store,0,1
TomP2P,no,Open Source,http://tomp2p.net/,http://db-engines.com/en/system/TomP2P,Key-value store,0,1
Valentina Server,no,Commercial,www.valentina-db.net,http://db-engines.com/en/system/Valentina+Server,Relational DBMS,0,1
VelocityDB,no,Commercial,http://www.velocitydb.com/,http://db-engines.com/en/system/VelocityDB,Object oriented DBMS,0,1
VelocityGraph,no,Open Source,www.velocitygraph.com,http://db-engines.com/en/system/VelocityGraph,Graph DBMS,0,1
WakandaDB,no,Open Source,www.wakanda.org,http://db-engines.com/en/system/WakandaDB,Object oriented DBMS,0,1
WhiteDB,no,Open Source,whitedb.org,http://db-engines.com/en/system/WhiteDB,Document store,0,1
